course;code_smells_count;bugs_count;vulnerability_count;;;;;;;;;;;;;;;;;;;;;;;
Introduction to Programming Nanodegree;10;0;0;;;;;;;;;;;;;;;;;;;;;;;
Java Application Deployment;5;2;0;;;;;;;;;;;;;;;;;;;;;;;
Java Connect Four project - Tester;8;0;1;;;;;;;;;;;;;;;;;;;;;;;
Java Developer Nanodegree;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Java students - TicTacToe;5;0;0;;;;;;;;;;;;;;;;;;;;;;;
Java Web Developer - Data Stores and Persistence;0;8;0;;;;;;;;;;;;;;;;;;;;;;;
Java Web Developer - Web Services and APIs;7;0;1;;;;;;;;;;;;;;;;;;;;;;;
Java Web Developer, Course - Security and DevOps;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Javascript Design Patterns - Cat Clicker Premium Vanilla;0;6;0;;;;;;;;;;;;;;;;;;;;;;;
Javascript Design Patterns - Udacity Pizza App;0;6;0;;;;;;;;;;;;;;;;;;;;;;;
Javascript Design Patterns course ;0;6;0;;;;;;;;;;;;;;;;;;;;;;;
Javascript ES6;9;4;0;;;;;;;;;;;;;;;;;;;;;;;
JavaScript Testing course;2;0;0;;;;;;;;;;;;;;;;;;;;;;;
Lesson Demos and Exercises Starter and Solution code;12;0;0;;;;;;;;;;;;;;;;;;;;;;;
LevelDB With Promises Exercise;2;0;0;;;;;;;;;;;;;;;;;;;;;;;
Machine Learning DevOps Engineer - Build an ML Pipeline for Short-Term Rental Prices in NYC I;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Machine Learning DevOps Engineer - Build an ML Pipeline for Short-Term Rental Prices in NYC II;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Machinery - Asynchronous task queue/job;42;0;0;;;;;;;;;;;;;;;;;;;;;;;
Masterschool Backend Assessment Project - Backend Assessment;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Message Passing Exercises;31;0;0;;;;;;;;;;;;;;;;;;;;;;;
Microservices Security course - Exercises;31;0;0;;;;;;;;;;;;;;;;;;;;;;;
Mobile Web Specialist Nanodegree - Local Development API Server Stage I;18;0;0;;;;;;;;;;;;;;;;;;;;;;;
Mobile Web Specialist Nanodegree - Local Development API Server Stage II;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Mobile Web Specialist Nanodegree - Local Development API Server Stage III;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Monitoring machine learning models in production;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Monolith to Microservices at Scale course;10;0;0;;;;;;;;;;;;;;;;;;;;;;;
ngCalendar;6;0;0;;;;;;;;;;;;;;;;;;;;;;;
Object-Oriented JavaScript;2;21;0;;;;;;;;;;;;;;;;;;;;;;;
Pacman Game;871;32;0;;;;;;;;;;;;;;;;;;;;;;;
Private Blockchain Application;1;1;0;;;;;;;;;;;;;;;;;;;;;;;
Project Starter for Cloud Data Warehouses with Azure;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Python scikit-learn for analyzing the dataset;25;0;0;;;;;;;;;;;;;;;;;;;;;;;
React Fundamentals - Contacts App;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
React Fundamentals - MyReads;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
React Fundamentals Cours - Exercises;11;0;0;;;;;;;;;;;;;;;;;;;;;;;
React Fundamentals course - MyReads Project;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
React Nanodegree - Contact App;2;0;0;;;;;;;;;;;;;;;;;;;;;;;
React Nanodegree - Live Coding React;42;13;3;;;;;;;;;;;;;;;;;;;;;;;
React Nanodegree program - Chirper Project;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
React Nanodegree program - Contacts Project;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
React Nanodegree program - Server for Contacts Project;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Reactt Nanodegree - UdaciMeals;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Readable API Server;7;1;0;;;;;;;;;;;;;;;;;;;;;;;
Real-Time Analytics with Storm;28;2;0;;;;;;;;;;;;;;;;;;;;;;;
Robotics Program - Deep Learning Lab Segmentation;12;0;0;;;;;;;;;;;;;;;;;;;;;;;
Robotics Program Quadrotor Controls Lab;14;0;0;;;;;;;;;;;;;;;;;;;;;;;
